plant_taxon,common_name,family,bee_taxa_count,source_backed_rows,direct_visit_feeding_rows,general_association_rows,near_local_rows,within150_rows,garden_note,top_bees,top_localities
Coreopsis nuecensis,,Asteraceae,1,2,2,0,0,2,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Apis mellifera,
Tripsacum dactyloides,,Poaceae,1,2,2,0,0,2,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Apis mellifera,
Delphinium carolinianum virescens,,Ranunculaceae,1,2,2,0,0,2,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Bombus sonorus,
Berlandiera pumila,,Asteraceae,1,2,2,0,0,2,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Melissodes bimaculatus,
Dalea frutescens,,Fabaceae,1,2,2,0,0,2,Legumes add flower diversity and can support specialized bees; avoid heavy disturbance around nesting areas.,Xylocopa tabaniformis parkinsoniae,
Marshallia caespitosa,,Asteraceae,1,2,1,1,2,2,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Apis mellifera,
Pyrus calleryana,,Rosaceae,1,1,1,0,1,1,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Agapostemon,
Aloysia virgata,,Verbenaceae,1,1,1,0,1,1,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Apis mellifera,
Chamaecrista fasciculata,,Fabaceae,1,1,1,0,1,1,Legumes add flower diversity and can support specialized bees; avoid heavy disturbance around nesting areas.,Bombus pensylvanicus,
Rivina humilis,,Phytolaccaceae,1,1,1,0,1,1,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Bombus pensylvanicus,
Taraxacum,,Asteraceae,1,1,1,0,1,1,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Bombus pensylvanicus,
Ipomoea,,Convolvulaceae,1,1,1,0,1,1,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Bombus sonorus,
Pyrrhopappus pauciflorus,,Asteraceae,1,1,1,0,1,1,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Halictus ligatus,
Symphyotrichum divaricatum,,Asteraceae,1,1,1,0,1,1,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Halictus ligatus,
Thelesperma filifolium,,Asteraceae,1,1,1,0,1,1,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Halictus ligatus,
Wisteria,,Fabaceae,1,1,1,0,1,1,Legumes add flower diversity and can support specialized bees; avoid heavy disturbance around nesting areas.,Megachile sculpturalis,
Cucurbitaceae,,Cucurbitaceae,1,1,1,0,1,1,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Peponapis pruinosa,
Duranta,,Verbenaceae,1,1,1,0,1,1,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Xylocopa micans,
Verbena brasiliensis,,Verbenaceae,1,1,1,0,1,1,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Xylocopa micans,
Asclepias asperula capricornu,,Apocynaceae,1,1,1,0,1,1,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Xylocopa virginica,
Ruellia ciliatiflora,,Acanthaceae,1,1,1,0,1,1,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Xylocopa virginica,
Amblyolepis setigera,,Asteraceae,1,1,1,0,0,1,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Apis mellifera,
Cercis,,Fabaceae,1,1,1,0,0,1,Legumes add flower diversity and can support specialized bees; avoid heavy disturbance around nesting areas.,Apis mellifera,
Cornus,,Cornaceae,1,1,1,0,0,1,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Apis mellifera,
Helianthus occidentalis,,Asteraceae,1,1,1,0,0,1,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Bombus pensylvanicus,
Asclepias fulva,,Apocynaceae,1,1,1,0,0,1,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Bombus sonorus,
Maurandella antirrhiniflora,,Plantaginaceae,1,1,1,0,0,1,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Bombus sonorus,
Penstemon cobaea,,Plantaginaceae,1,1,1,0,0,1,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Xylocopa tabaniformis,
Penstemon triflorus,,Plantaginaceae,1,1,1,0,0,1,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Xylocopa tabaniformis parkinsoniae,
Houstonia humifusa,,Rubiaceae,1,5,0,5,5,5,Buttonbush and relatives can be valuable where soil moisture fits.,Perdita pedernalensis,United States of America; Pedernales Falls State Park
Oenothera speciosa,,Onagraceae,1,4,0,4,4,4,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Lithurgopsis gibbosa,
Castilleja,,Orobanchaceae,1,3,0,3,3,3,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Megachile,Cibolo Creek
Heterotheca viscida,,Asteraceae,1,2,0,2,2,2,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Anthophorula texana,"Austin, 10 mi SE"
Euphorbia,,Euphorbiaceae,1,2,0,2,2,2,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Bombus fraternus,11 mi NW of Gonzales
Allium,,Amaryllidaceae,1,2,0,2,2,2,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Heriades variolosa,Bastrop State Park
Cardamine bellidifolia,,Brassicaceae,1,2,0,2,2,2,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Lasioglossum bardum,
Phyla nodiflora,,Verbenaceae,1,2,0,2,2,2,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Megachile brevis,Austin
Ipomoea cordatotriloba,,Convolvulaceae,1,2,0,2,2,2,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Melissodes bimaculatus,
Lygodesmia texana,,Compositae,1,2,0,2,2,2,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Melissodes bimaculatus,
Convolvulus equitans,,Convolvulaceae,1,2,0,2,2,2,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Melissodes tepaneca,
Helenium amarum,,Asteraceae,1,2,0,2,2,2,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Triepeolus rufoclypeus,
Agalinis edwardsiana,,Orobanchaceae,1,1,0,1,1,1,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Bombus pensylvanicus,
Cirsium horridulum,,Asteraceae,1,1,0,1,1,1,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Bombus pensylvanicus,
Conoclinium,,Asteraceae,1,1,0,1,1,1,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Bombus pensylvanicus,
Salvia greggii,,Lamiaceae,1,1,0,1,1,1,Mint-family flowers can be strong bee forage when matched to local water needs.,Bombus pensylvanicus,
Campsis radicans,,Bignoniaceae,1,1,0,1,1,1,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Ceratina cobaltina,Austin
Heterotheca subaxillaris,,Asteraceae,1,1,0,1,1,1,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Ceratina cobaltina,Austin
Taraxacum officinale,,Asteraceae,1,1,0,1,1,1,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Ceratina cobaltina,Austin
Justicia americana,,Acanthaceae,1,1,0,0,1,1,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Conanthalictus bakeri,Austin
Quercus virginiana,,Fagaceae,1,1,0,0,1,1,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Lasioglossum,vicinity of Long Hollow Creek
Ceanothus americanus,,Rhamnaceae,1,1,0,1,1,1,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Lasioglossum vierecki,Camp Swift (post oak)
Melilotus officinalis,,Fabaceae,1,1,0,1,1,1,Legumes add flower diversity and can support specialized bees; avoid heavy disturbance around nesting areas.,Megachile snowi,Bastrop State Park
Delphinium ajacis,,Ranunculaceae,1,1,0,1,1,1,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Melissodes bimaculatus,
Dalea,,Fabaceae,1,1,0,1,1,1,Legumes add flower diversity and can support specialized bees; avoid heavy disturbance around nesting areas.,Melissodes wheeleri,McDade
Oenothera serrulata,,Onagraceae,1,24,0,24,0,24,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Lasioglossum cinctipes,9 mi N of Menard
Cleomella lutea,,Cleomaceae,1,14,0,14,0,14,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Hylaeus mesillae cressoni,Davis Mountains
Simsia calva,,Asteraceae,1,14,0,14,0,14,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Perdita nigroviridis,"Uvalde, 20 mi W"
Ptilimnium nuttallii,,Apiaceae,1,13,0,13,0,13,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Hylaeus modestus,Goliad
Nama hispida,,Namaceae,1,12,0,12,0,0,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Sphecodosoma beameri,United States of America
Zephyranthes drummondii,,Amaryllidaceae,1,8,0,8,0,8,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Melissodes coreopsis,Harper
Medicago,,Fabaceae,1,6,0,6,0,6,Legumes add flower diversity and can support specialized bees; avoid heavy disturbance around nesting areas.,Melissodes tepaneca,Harper
Convolvulus,,Convolvulaceae,1,5,0,5,0,5,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Melissodes communis communis,"Goliad; Goliad, 16 mi E"
Prosopis,,Fabaceae,1,3,0,3,0,3,Legumes add flower diversity and can support specialized bees; avoid heavy disturbance around nesting areas.,Agapostemon melliventris,"Sarita, 5 km N"
Prunus,,Rosaceae,1,3,0,3,0,3,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Andrena miserabilis,Rockdale; Lexington
Grindelia scabra,,Asteraceae,1,3,0,3,0,3,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Exomalopsis,"Highway 83, 2 km N La Pryor"
Dalea aurea,,Fabaceae,1,3,0,3,0,3,Legumes add flower diversity and can support specialized bees; avoid heavy disturbance around nesting areas.,Protandrena abdominalis,Goliad
Tithonia rotundifolia,,Asteraceae,1,2,0,2,0,2,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Bombus pensylvanicus,
Helianthus,,Asteraceae,1,2,0,2,0,2,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Colletes birkmanni,Victoria
Aphanostephus,,Asteraceae,1,2,0,2,0,2,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Lasioglossum,United States of America
Gaillardia pulchella,,Asteraceae,1,2,0,2,0,0,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Megachile gentilis,Devils River
Sisyrinchium campestre,,Iridaceae,1,2,0,2,0,2,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Melissodes tepaneca,Harper
Gaura,,Onagraceae,1,2,0,2,0,0,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Melissodes tristis,Quemado
Zinnia grandiflora,,Asteraceae,1,2,0,2,0,0,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Melissodes tristis,Sonora
Medicago minima,,Fabaceae,1,2,0,2,0,2,Legumes add flower diversity and can support specialized bees; avoid heavy disturbance around nesting areas.,Panurginus,Harper
Papaveraceae,,Papaveraceae,1,1,0,1,0,1,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Andrena brevicornis,Davis Mountain State Park
Gutierrezia texana,,Asteraceae,1,1,0,1,0,1,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Andrena micheneriella,"San Antonio, Holm Rd & Peasrall Rd"
Senecio ampullaceus,,Asteraceae,1,1,0,1,0,1,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Andrena senticulosa,"Devine, 10 mi E"
Scutellaria nervosa,,Lamiaceae,1,1,0,1,0,1,Mint-family flowers can be strong bee forage when matched to local water needs.,Anthophora californica,Kerrville
Prosopis glandulosa var. glandulosa,,Fabaceae,1,1,0,1,0,1,Legumes add flower diversity and can support specialized bees; avoid heavy disturbance around nesting areas.,Apidae,"TTU Center, Junction"
Lagerstroemia indica,,Lythraceae,1,1,0,1,0,1,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Apis mellifera,
Cirsium undulatum,,Asteraceae,1,1,0,1,0,1,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Bombus pensylvanicus,
Duranta erecta,,Verbenaceae,1,1,0,1,0,0,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Bombus pensylvanicus,
Lithospermum caroliniense,,Boraginaceae,1,1,0,0,0,1,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Bombus sonorus,Llano River Field Station
Justicia,,Acanthaceae,1,1,0,0,0,1,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Conanthalictus bakeri,Bell Co.
Rhus copallina,,Anacardiaceae,1,1,0,1,0,1,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Halictidae,9 mi. N. Menard
Heliopsis parvifolia,,Asteraceae,1,1,0,1,0,0,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Megachile policaris,Sonora
Callirhoe leiocarpa,,Malvaceae,1,1,0,1,0,1,Mallows can be useful open flowers for many small-to-medium bees.,Melissodes intortus,Sweet Home
Papaver,,Papaveraceae,1,1,0,1,0,1,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Melissodes tristis,Davis Mountains
Fabaceae,,Fabaceae,1,1,0,1,0,1,Legumes add flower diversity and can support specialized bees; avoid heavy disturbance around nesting areas.,Osmia ribifloris ribifloris,
Phacelia coerulea,,Hydrophyllaceae,1,1,0,1,0,1,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Osmia subfasciata subfasciata,"Goliad, 2 mi W"
Chamaesaracha,,Solanaceae,1,1,0,1,0,1,Some nightshade-family flowers are buzz-pollinated and can support bees that vibrate flowers.,Perdita deltophora,Davis Mountains
Lindheimera texana,,Compositae,1,1,0,1,0,1,"Useful dataset lead. Verify native range, bloom season, water need, and local availability before planting.",Protandrena ornatipes,Concan
Berlandiera,,Asteraceae,1,1,0,1,0,1,Composite flowers can be easy landing pads. Use several species so something blooms across the warm season.,Protandrena (Pterosarus) albitarsis porterae,Manheim
Teucrium laciniatum,,Lamiaceae,1,1,0,1,0,1,Mint-family flowers can be strong bee forage when matched to local water needs.,Protandrena texana,Cherry Spring
